,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE_LABEL,Counter_Part,Nature,Type,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Counterpart
138806,IND,India,WB_IDS_BN_CAB_XOKA_CD,Current account balance,US dollars,Counterpart Area: World,Not Applicable,Not Applicable,,,,,,-147516804.4,1578867399.0,2119244327.0,692377898.6,50336977.94,-1785125731.0,-2698332267.0,-2523543846.0,-1936941637.0,-2311069806.0,-4140583148.0,-4567699251.0,-5171168794.0,-7143232480.0,-6812769371.0,-7035654412.0,-4291734332.0,-4485223626.0,-1875802280.0,-1676281518.0,-5563227578.0,-5956139582.0,-2965195307.0,-6903105373.0,-3228022816.0,-4601248652.0,1410181566.0,7059496037.0,8772510264.0,780195721.5,-10283543308.0,-9299060317.0,-8075694484.0,-30971987181.0,-26186435957.0,-54515877624.0,-62517637222.0,-91471245846.0,-49122670388.0,-27314281993.0,-22456838010.0,-12113787707.0,-38167659224.0,-65599439053.0,-29762864650.0,32730048588.0,-33422359358.0,-79050941951.0,-31962287412.0,,,,,,,,,World
138807,IND,India,WB_IDS_BX_GRT_EXTA_CD_DT,"Grants, excluding technical cooperation",US dollars,Counterpart Area: World,Not Applicable,Not Applicable,147350000.0,230260000.0,171200000.0,148610000.0,242690000.0,511050000.0,465430000.0,469580000.0,640430000.0,716990000.0,648520000.0,809270000.0,455610000.0,545160000.0,582540000.0,449840000.0,595470000.0,531450000.0,699010000.0,694770000.0,508320000.0,562550000.0,582890000.0,490760000.0,617420000.0,568540000.0,600560000.0,550530000.0,493060000.0,480430000.0,471170000.0,554680000.0,678290000.0,611950000.0,897710000.0,1092030000.0,891780000.0,1090910000.0,1180910000.0,1175160000.0,1026210000.0,1055980000.0,825640000.0,1025730000.0,832170000.0,912220000.0,692180000.0,593530000.0,697420000.0,674410000.0,616080000.0,783620000.0,690710000.0,,,,,,,,,,World
138808,IND,India,WB_IDS_BX_GRT_TECH_CD_DT,Technical cooperation grants,US dollars,Counterpart Area: World,Not Applicable,Not Applicable,45890000.0,58320000.0,49870000.0,46430000.0,54750000.0,76190000.0,63080000.0,82510000.0,105150000.0,119600000.0,147440000.0,143970000.0,166430000.0,176420000.0,168120000.0,173980000.0,221020000.0,264030000.0,330500000.0,404700000.0,333200000.0,329210000.0,428870000.0,375530000.0,380510000.0,426520000.0,403630000.0,330440000.0,308830000.0,291250000.0,286860000.0,313940000.0,327970000.0,418440000.0,387080000.0,352370000.0,358350000.0,276030000.0,276290000.0,266040000.0,282580000.0,329020000.0,356150000.0,369980000.0,403620000.0,389260000.0,352550000.0,495320000.0,409610000.0,490530000.0,534980000.0,514490000.0,490470000.0,,,,,,,,,,World
138809,IND,India,WB_IDS_BX_KLT_DINV_CD_DT,"Foreign direct investment, net inflows in reporting economy (DRS)",US dollars,Counterpart Area: World,Not Applicable,Not Applicable,,,,,,-10326246.71,-7706430.543,-36060000.0,18090000.0,48570000.0,79160000.0,91920000.0,72080000.0,5640000.0,19240000.0,106090000.0,117730000.0,212320000.0,91250000.0,252100000.0,236690000.0,73537638.39,276512439.0,550370024.9,973271468.7,2143628110.0,2426057022.0,3577330042.0,2634651658.0,2168591054.0,3587989750.0,5128093562.0,5208967106.0,3681984671.0,5429250990.0,7269407226.0,20029119267.0,24928156932.0,42690113305.0,34111338288.0,27356629958.0,34642529893.0,23171906293.0,26712731227.0,32353820663.0,39662677598.0,41986918800.0,37097557039.0,39234081906.0,43135664858.0,59495849549.0,41121427206.0,47078182992.0,25519793421.0,,,,,,,,,World
138810,IND,India,WB_IDS_BX_KLT_DREM_CD_DT,Primary income on FDI,US dollars,Counterpart Area: World,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,2143240331.0,2323415258.0,2413012643.0,3479235563.0,5244341660.0,7737524083.0,10909992105.0,11988871923.0,12278774182.0,21763448889.0,23759933902.0,16389049089.0,12554794807.0,14026683899.0,13684345931.0,19126101136.0,19710738977.0,22962177775.0,22314031612.0,29840017625.0,36605117167.0,38794413469.0,46575776467.0,,,,,,,,,World
138811,IND,India,WB_IDS_BX_PEF_CD_DT,"Portfolio investment, equity (DRS)",US dollars,Counterpart Area: World,Not Applicable,Not Applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4636519.763,283578511.9,1369117146.0,5491125009.0,1590475624.0,3958322334.0,2555657284.0,-601151966.9,2317070163.0,2481311864.0,2949583339.0,1063391576.0,8216187274.0,9053979533.0,12151206548.0,9509114658.0,32862817217.0,-15030005085.0,24688929528.0,30442226311.0,-4048294106.0,22809104593.0,19891607287.0,12369281295.0,1932581388.0,2336743636.0,5928064111.0,-4361005877.0,13768516397.0,24854054527.0,5223337685.0,-16572089326.0,21427093557.0,,,,,,,,,World
138812,IND,India,WB_IDS_BX_TRF_PWKR_CD_DT,"Personal transfers and compensation of employees, received",US dollars,Counterpart Area: World,Not Applicable,Not Applicable,,,,,,429883697.5,642343811.0,934415893.6,1164776733.0,1437018555.0,2756975586.0,2301415527.0,2617671387.0,2660081543.0,2294750488.0,2469209229.0,2239903076.0,2665414307.0,2315296143.0,2613844482.0,2383739990.0,3289109375.0,2897425537.0,3522788086.0,5856694336.0,6222996282.0,8765693607.0,10330965043.0,9479300350.0,11124280843.0,12883465957.0,14273018778.0,15735736286.0,20999150983.0,18750377107.0,22125089480.0,28333642280.0,37216755275.0,49977276916.0,49203912009.0,53479960083.0,62499075445.0,68820517838.0,69970360847.0,70388642797.0,68909693353.0,62744364090.0,68967175500.0,78790170929.0,83332078002.0,83149172934.0,89375152218.0,111222000000.0,119526000000.0,,,,,,,,,World
138813,IND,India,WB_IDS_DT_AMT,Principal repayments on external debt,US dollars,Counterpart Area: Austria,Debtor Coverage: Private Guaranteed by Public Sector,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,442329.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Austria
138814,IND,India,WB_IDS_DT_AMT,Principal repayments on external debt,US dollars,Counterpart Area: Belgium,Debtor Coverage: Private Guaranteed by Public Sector,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,884000.0,884000.0,888000.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Belgium
138815,IND,India,WB_IDS_DT_AMT,Principal repayments on external debt,US dollars,Counterpart Area: Bahrain,Debtor Coverage: Private Guaranteed by Public Sector,Not Applicable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahrain
