,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3,COMP_BREAKDOWN_3_LABEL
0,AFG,Afghanistan,WB_IDS_BN_CAB_XOKA_CD,Current account balance,USD,US dollars,WB_IDS_COUNTERPART_AREA_WLD,Counterpart Area: World,_Z,Not Applicable,_Z,Not Applicable
1,AGO,Angola,WB_IDS_BX_GRT_EXTA_CD_DT,"Grants, excluding technical cooperation",PT,Percentage,WB_IDS_COUNTERPART_AREA_IMF,Counterpart Area: International Monetary Fund,WB_IDS_CREDITOR_COV_PRV,Creditor Coverage: Private Creditors,WB_IDS_CONCESN_C,Concessional: Concessional
2,ALB,Albania,WB_IDS_BX_GRT_TECH_CD_DT,Technical cooperation grants,PT_DB_EXT,Percentage of external debt,WB_IDS_COUNTERPART_AREA_ADB,Counterpart Area: Asian Dev. Bank,WB_IDS_STOCK_TDS,Stock/Flow: Debt service payments,WB_IDS_MATURITY_LT,Maturity: Long-term
3,ARG,Argentina,WB_IDS_BX_KLT_DINV_CD_DT,"Foreign direct investment, net inflows in reporting economy (DRS)",PT_GNI,Percentage of GNI,WB_IDS_COUNTERPART_AREA_BGR,Counterpart Area: Bulgaria,WB_IDS_DEBTOR_COV_PRVG,Debtor Coverage: Private Guaranteed by Public Sector,WB_IDS_CREDITOR_COV_PRV,Creditor Coverage: Private Creditors
4,ARM,Armenia,WB_IDS_BX_KLT_DREM_CD_DT,Primary income on FDI,YR,Years,WB_IDS_COUNTERPART_AREA_FCW,Counterpart Area: Other Multiple Lenders,WB_IDS_DEBTOR_COV_PRV,Debtor Coverage: Private sector,WB_IDS_CONCESN_NC,Concessional: Nonconcessional
5,AZE,Azerbaijan,WB_IDS_BX_PEF_CD_DT,"Portfolio investment, equity (DRS)",M,Months,WB_IDS_COUNTERPART_AREA_GFR,"Counterpart Area: Germany, Fed. Rep. of",WB_IDS_CREDITOR_COV_MLT,Creditor Coverage: Multilateral Creditors,,
6,BDI,Burundi,WB_IDS_BX_TRF_PWKR_CD_DT,"Personal transfers and compensation of employees, received",COUNT,Count,WB_IDS_COUNTERPART_AREA_IDA,Counterpart Area: World Bank-IDA,,,,
7,BEN,Benin,WB_IDS_DT_AMT_DIMF,IMF repurchases,,,WB_IDS_COUNTERPART_AREA_IRQ,Counterpart Area: Iraq,,,,
8,BFA,Burkina Faso,WB_IDS_DT_AMT_DLTF,"Principal repayments on external debt, long-term + IMF",,,WB_IDS_COUNTERPART_AREA_ISDB,Counterpart Area: Islamic Dev. Bank,,,,
9,BGD,Bangladesh,WB_IDS_DT_AXA,Principal arrears creditors,,,WB_IDS_COUNTERPART_AREA_OPEC,Counterpart Area: OPEC Fund for International Dev.,,,,
10,BIH,Bosnia and Herzegovina,WB_IDS_DT_AXF_DPPG,Principal forgiven,,,WB_IDS_COUNTERPART_AREA_RUS,Counterpart Area: Russian Federation,,,,
11,BLR,Belarus,WB_IDS_DT_BLT,"Public and publicly guaranteed, bilateral",,,WB_IDS_COUNTERPART_AREA_SAU,Counterpart Area: Saudi Arabia,,,,
12,BLZ,Belize,WB_IDS_DT_BLT_GG,"General Government Debt, bilateral",,,WB_IDS_COUNTERPART_AREA_USA,Counterpart Area: United States,,,,
13,BOL,Bolivia,WB_IDS_DT_BLT_PS,"Public sector debt, bilateral",,,WB_IDS_COUNTERPART_AREA_HRV,Counterpart Area: Croatia,,,,
14,BRA,Brazil,WB_IDS_DT_CUR_EURO,"Currency composition of PPG debt, Euro (%)",,,WB_IDS_COUNTERPART_AREA_KWT,Counterpart Area: Kuwait,,,,
15,BTN,Bhutan,WB_IDS_DT_CUR_JYEN,"Currency composition of PPG debt, Japanese yen (%)",,,WB_IDS_COUNTERPART_AREA_CHN,Counterpart Area: China,,,,
16,BWA,Botswana,WB_IDS_DT_CUR_MULC,"Currency composition of PPG debt, Multiple currencies (%)",,,WB_IDS_COUNTERPART_AREA_DNK,Counterpart Area: Denmark,,,,
17,CAF,Central African Republic,WB_IDS_DT_CUR_OTHC,"Currency composition of PPG debt, all other currencies (%)",,,WB_IDS_COUNTERPART_AREA_IRN,"Counterpart Area: Iran, Islamic Republic Of",,,,
18,CHN,China,WB_IDS_DT_CUR_SDRW,"Currency composition of PPG debt, SDR (%)",,,WB_IDS_COUNTERPART_AREA_ITA,Counterpart Area: Italy,,,,
19,CIV,Cote d'Ivoire,WB_IDS_DT_CUR_SWFR,"Currency composition of PPG debt, Swiss franc (%)",,,WB_IDS_COUNTERPART_AREA_AAIB,Counterpart Area: Arab African International Bank,,,,
20,CMR,Cameroon,WB_IDS_DT_CUR_UKPS,"Currency composition of PPG debt, Pound sterling (%)",,,WB_IDS_COUNTERPART_AREA_ABW,Counterpart Area: Aruba,,,,
21,COD,"Congo, Dem. Rep.",WB_IDS_DT_CUR_USDL,"Currency composition of PPG debt, U.S. dollars (%)",,,WB_IDS_COUNTERPART_AREA_ADF,Counterpart Area: African Dev. Bank,,,,
22,COG,"Congo, Rep.",WB_IDS_DT_DFR_DPPG,Debt forgiveness or reduction,,,WB_IDS_COUNTERPART_AREA_AEB,Counterpart Area: African Export-Import Bank,,,,
23,COL,Colombia,WB_IDS_DT_DIS,Disbursements on external debt,,,WB_IDS_COUNTERPART_AREA_AFESD,Counterpart Area: Arab Fund for Economic & Social Development,,,,
24,COM,Comoros,WB_IDS_DT_DIS_DIMF,IMF purchases,,,WB_IDS_COUNTERPART_AREA_AFG,Counterpart Area: Afghanistan,,,,
